Comunidad Autónoma y Provincia	Tipo de indicador	años	Total
Andalucía	HUELGAS DESARROLLADAS	1992	214,0
Andalucía	HUELGAS DESARROLLADAS	1991	260,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	2001	1.846,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	2000	5.879,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1999	13.018,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1998	6.050,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1997	7.704,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1996	11.761,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1995	9.258,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1994	17.386,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1993	93.448,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1992	15.439,0
Andalucía	CENTROS DE TRABAJO CONVOCADOS	1991	61.257,0
Andalucía	TRABAJADORES PARTICIPANTES (miles)	2001	8,5
Andalucía	TRABAJADORES PARTICIPANTES (miles)	2000	24,4
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1999	223,8
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1998	41,4
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1997	37,6
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1996	140,4
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1995	89,9
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1994	42,2
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1993	156,4
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1992	105,4
Andalucía	TRABAJADORES PARTICIPANTES (miles)	1991	255,4
Andalucía	JORNADAS NO TRABAJADAS (miles)	2001	32,9
Andalucía	JORNADAS NO TRABAJADAS (miles)	2000	290,7
Andalucía	JORNADAS NO TRABAJADAS (miles)	1999	264,6
Andalucía	JORNADAS NO TRABAJADAS (miles)	1998	218,9
Andalucía	JORNADAS NO TRABAJADAS (miles)	1997	287,0
Andalucía	JORNADAS NO TRABAJADAS (miles)	1996	384,9
Andalucía	JORNADAS NO TRABAJADAS (miles)	1995	236,8
Andalucía	JORNADAS NO TRABAJADAS (miles)	1994	95,1
Andalucía	JORNADAS NO TRABAJADAS (miles)	1993	310,8
Andalucía	JORNADAS NO TRABAJADAS (miles)	1992	287,3
Andalucía	JORNADAS NO TRABAJADAS (miles)	1991	687,2
Almería	HUELGAS DESARROLLADAS	2001	6,0
Almería	HUELGAS DESARROLLADAS	2000	11,0
Almería	HUELGAS DESARROLLADAS	1999	3,0
Almería	HUELGAS DESARROLLADAS	1998	1,0
Almería	HUELGAS DESARROLLADAS	1997	6,0
Almería	HUELGAS DESARROLLADAS	1996	11,0
Almería	HUELGAS DESARROLLADAS	1995	7,0
Almería	HUELGAS DESARROLLADAS	1994	9,0
Almería	HUELGAS DESARROLLADAS	1993	10,0
Almería	HUELGAS DESARROLLADAS	1992	10,0
Almería	HUELGAS DESARROLLADAS	1991	8,0
Almería	CENTROS DE TRABAJO CONVOCADOS	2001	10,0
Almería	CENTROS DE TRABAJO CONVOCADOS	2000	1.097,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1999	5,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1998	1,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1997	32,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1996	11,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1995	7,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1994	9,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1993	79,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1992	25,0
Almería	CENTROS DE TRABAJO CONVOCADOS	1991	710,0
Almería	TRABAJADORES PARTICIPANTES (miles)	2001	0,6
Almería	TRABAJADORES PARTICIPANTES (miles)	2000	1,5
Almería	TRABAJADORES PARTICIPANTES (miles)	1999	0,2
Almería	TRABAJADORES PARTICIPANTES (miles)	1998	..
Almería	TRABAJADORES PARTICIPANTES (miles)	1997	0,1
Almería	TRABAJADORES PARTICIPANTES (miles)	1996	0,7
Almería	TRABAJADORES PARTICIPANTES (miles)	1995	0,2
Almería	TRABAJADORES PARTICIPANTES (miles)	1994	1,6
Almería	TRABAJADORES PARTICIPANTES (miles)	1993	1,5
Almería	TRABAJADORES PARTICIPANTES (miles)	1992	1,5
Almería	TRABAJADORES PARTICIPANTES (miles)	1991	1,7
Almería	JORNADAS NO TRABAJADAS (miles)	2001	1,1
Almería	JORNADAS NO TRABAJADAS (miles)	2000	12,8
Almería	JORNADAS NO TRABAJADAS (miles)	1999	1,1
Almería	JORNADAS NO TRABAJADAS (miles)	1998	0,1
Almería	JORNADAS NO TRABAJADAS (miles)	1997	0,2
Almería	JORNADAS NO TRABAJADAS (miles)	1996	4,0
Almería	JORNADAS NO TRABAJADAS (miles)	1995	2,3
Almería	JORNADAS NO TRABAJADAS (miles)	1994	3,9
Almería	JORNADAS NO TRABAJADAS (miles)	1993	11,4
Almería	JORNADAS NO TRABAJADAS (miles)	1992	2,8
Almería	JORNADAS NO TRABAJADAS (miles)	1991	5,0
Cádiz	HUELGAS DESARROLLADAS	2001	10,0
Cádiz	HUELGAS DESARROLLADAS	2000	22,0
Cádiz	HUELGAS DESARROLLADAS	1999	17,0
Cádiz	HUELGAS DESARROLLADAS	1998	22,0
Cádiz	HUELGAS DESARROLLADAS	1997	16,0
Cádiz	HUELGAS DESARROLLADAS	1996	23,0
Cádiz	HUELGAS DESARROLLADAS	1995	31,0
Cádiz	HUELGAS DESARROLLADAS	1994	22,0
Cádiz	HUELGAS DESARROLLADAS	1993	26,0
Cádiz	HUELGAS DESARROLLADAS	1992	43,0
Cádiz	HUELGAS DESARROLLADAS	1991	42,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	2001	9,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	2000	2.728,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1999	41,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1998	152,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1997	843,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1996	159,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1995	3.795,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1994	83,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1993	3.919,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1992	2.636,0
Cádiz	CENTROS DE TRABAJO CONVOCADOS	1991	4.403,0
Cádiz	TRABAJADORES PARTICIPANTES (miles)	2001	0,4
Cádiz	TRABAJADORES PARTICIPANTES (miles)	2000	9,0
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1999	3,7
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1998	1,4
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1997	6,8
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1996	6,3
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1995	34,1
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1994	2,5
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1993	14,6
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1992	13,6
Cádiz	TRABAJADORES PARTICIPANTES (miles)	1991	53,7
Cádiz	JORNADAS NO TRABAJADAS (miles)	2001	1,8
Cádiz	JORNADAS NO TRABAJADAS (miles)	2000	59,2
Cádiz	JORNADAS NO TRABAJADAS (miles)	1999	4,6
Cádiz	JORNADAS NO TRABAJADAS (miles)	1998	2,6
Cádiz	JORNADAS NO TRABAJADAS (miles)	1997	13,4
Cádiz	JORNADAS NO TRABAJADAS (miles)	1996	22,6
Cádiz	JORNADAS NO TRABAJADAS (miles)	1995	36,4
Cádiz	JORNADAS NO TRABAJADAS (miles)	1994	2,0
Cádiz	JORNADAS NO TRABAJADAS (miles)	1993	19,3
Cádiz	JORNADAS NO TRABAJADAS (miles)	1992	32,0
Cádiz	JORNADAS NO TRABAJADAS (miles)	1991	153,7
Córdoba	HUELGAS DESARROLLADAS	2001	..
Córdoba	HUELGAS DESARROLLADAS	2000	1,0
Córdoba	HUELGAS DESARROLLADAS	1999	8,0
Córdoba	HUELGAS DESARROLLADAS	1998	13,0
Córdoba	HUELGAS DESARROLLADAS	1997	2,0
Córdoba	HUELGAS DESARROLLADAS	1996	7,0
Córdoba	HUELGAS DESARROLLADAS	1995	3,0
Córdoba	HUELGAS DESARROLLADAS	1994	6,0
Córdoba	HUELGAS DESARROLLADAS	1993	14,0
Córdoba	HUELGAS DESARROLLADAS	1992	8,0
Córdoba	HUELGAS DESARROLLADAS	1991	6,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	2001	..
Córdoba	CENTROS DE TRABAJO CONVOCADOS	2000	1,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1999	8,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1998	13,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1997	1.790,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1996	1.550,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1995	31,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1994	559,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1993	33.263,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1992	30,0
Córdoba	CENTROS DE TRABAJO CONVOCADOS	1991	122,0
Córdoba	TRABAJADORES PARTICIPANTES (miles)	2001	..
Córdoba	TRABAJADORES PARTICIPANTES (miles)	2000	..
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1999	1,1
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1998	0,6
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1997	6,2
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1996	3,6
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1995	0,7
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1994	0,8
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1993	16,9
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1992	3,7
Córdoba	TRABAJADORES PARTICIPANTES (miles)	1991	1,0
Córdoba	JORNADAS NO TRABAJADAS (miles)	2001	..
Córdoba	JORNADAS NO TRABAJADAS (miles)	2000	0,1
Córdoba	JORNADAS NO TRABAJADAS (miles)	1999	8,3
Córdoba	JORNADAS NO TRABAJADAS (miles)	1998	2,9
Córdoba	JORNADAS NO TRABAJADAS (miles)	1997	12,4
Córdoba	JORNADAS NO TRABAJADAS (miles)	1996	7,6
Córdoba	JORNADAS NO TRABAJADAS (miles)	1995	1,1
Córdoba	JORNADAS NO TRABAJADAS (miles)	1994	3,2
Córdoba	JORNADAS NO TRABAJADAS (miles)	1993	109,0
Córdoba	JORNADAS NO TRABAJADAS (miles)	1992	2,6
Córdoba	JORNADAS NO TRABAJADAS (miles)	1991	4,8
Granada	HUELGAS DESARROLLADAS	2001	7,0
Granada	HUELGAS DESARROLLADAS	2000	18,0
Granada	HUELGAS DESARROLLADAS	1999	11,0
Granada	HUELGAS DESARROLLADAS	1998	16,0
Granada	HUELGAS DESARROLLADAS	1997	17,0
Granada	HUELGAS DESARROLLADAS	1996	15,0
Granada	HUELGAS DESARROLLADAS	1995	8,0
Granada	HUELGAS DESARROLLADAS	1994	27,0
Granada	HUELGAS DESARROLLADAS	1993	17,0
Granada	HUELGAS DESARROLLADAS	1992	15,0
Granada	HUELGAS DESARROLLADAS	1991	25,0
Granada	CENTROS DE TRABAJO CONVOCADOS	2001	11,0
Granada	CENTROS DE TRABAJO CONVOCADOS	2000	1.153,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1999	30,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1998	46,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1997	389,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1996	1.829,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1995	612,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1994	14.973,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1993	5.622,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1992	1.406,0
Granada	CENTROS DE TRABAJO CONVOCADOS	1991	3.676,0
Granada	TRABAJADORES PARTICIPANTES (miles)	2001	0,7
Granada	TRABAJADORES PARTICIPANTES (miles)	2000	4,6
Granada	TRABAJADORES PARTICIPANTES (miles)	1999	0,7
Granada	TRABAJADORES PARTICIPANTES (miles)	1998	1,2
Granada	TRABAJADORES PARTICIPANTES (miles)	1997	4,9
Granada	TRABAJADORES PARTICIPANTES (miles)	1996	9,7
Granada	TRABAJADORES PARTICIPANTES (miles)	1995	0,7
Granada	TRABAJADORES PARTICIPANTES (miles)	1994	9,3
Granada	TRABAJADORES PARTICIPANTES (miles)	1993	9,4
Granada	TRABAJADORES PARTICIPANTES (miles)	1992	11,7
Granada	TRABAJADORES PARTICIPANTES (miles)	1991	56,7
Granada	JORNADAS NO TRABAJADAS (miles)	2001	2,6
Granada	JORNADAS NO TRABAJADAS (miles)	2000	57,5
Granada	JORNADAS NO TRABAJADAS (miles)	1999	2,8
Granada	JORNADAS NO TRABAJADAS (miles)	1998	2,5
Granada	JORNADAS NO TRABAJADAS (miles)	1997	34,4
Granada	JORNADAS NO TRABAJADAS (miles)	1996	88,4
Granada	JORNADAS NO TRABAJADAS (miles)	1995	4,0
Granada	JORNADAS NO TRABAJADAS (miles)	1994	17,3
Granada	JORNADAS NO TRABAJADAS (miles)	1993	11,0
Granada	JORNADAS NO TRABAJADAS (miles)	1992	99,0
Granada	JORNADAS NO TRABAJADAS (miles)	1991	107,7
Huelva	HUELGAS DESARROLLADAS	2001	4,0
Huelva	HUELGAS DESARROLLADAS	2000	7,0
Huelva	HUELGAS DESARROLLADAS	1999	9,0
Huelva	HUELGAS DESARROLLADAS	1998	7,0
Huelva	HUELGAS DESARROLLADAS	1997	6,0
Huelva	HUELGAS DESARROLLADAS	1996	10,0
Huelva	HUELGAS DESARROLLADAS	1995	13,0
Huelva	HUELGAS DESARROLLADAS	1994	11,0
Huelva	HUELGAS DESARROLLADAS	1993	28,0
Huelva	HUELGAS DESARROLLADAS	1992	14,0
Huelva	HUELGAS DESARROLLADAS	1991	6,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	2001	6,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	2000	466,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1999	9,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1998	81,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1997	81,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1996	25,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1995	40,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1994	31,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1993	423,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1992	358,0
Huelva	CENTROS DE TRABAJO CONVOCADOS	1991	9,0
Huelva	TRABAJADORES PARTICIPANTES (miles)	2001	0,3
Huelva	TRABAJADORES PARTICIPANTES (miles)	2000	5,1
Huelva	TRABAJADORES PARTICIPANTES (miles)	1999	0,5
Huelva	TRABAJADORES PARTICIPANTES (miles)	1998	0,5
Huelva	TRABAJADORES PARTICIPANTES (miles)	1997	0,5
Huelva	TRABAJADORES PARTICIPANTES (miles)	1996	0,7
Huelva	TRABAJADORES PARTICIPANTES (miles)	1995	2,0
Huelva	TRABAJADORES PARTICIPANTES (miles)	1994	1,0
Huelva	TRABAJADORES PARTICIPANTES (miles)	1993	4,9
Huelva	TRABAJADORES PARTICIPANTES (miles)	1992	4,7
Huelva	TRABAJADORES PARTICIPANTES (miles)	1991	0,8
Huelva	JORNADAS NO TRABAJADAS (miles)	2001	0,4
Huelva	JORNADAS NO TRABAJADAS (miles)	2000	144,1
Huelva	JORNADAS NO TRABAJADAS (miles)	1999	3,1
Huelva	JORNADAS NO TRABAJADAS (miles)	1998	3,0
Huelva	JORNADAS NO TRABAJADAS (miles)	1997	1,5
Huelva	JORNADAS NO TRABAJADAS (miles)	1996	5,1
Huelva	JORNADAS NO TRABAJADAS (miles)	1995	24,7
Huelva	JORNADAS NO TRABAJADAS (miles)	1994	2,4
Huelva	JORNADAS NO TRABAJADAS (miles)	1993	14,2
Huelva	JORNADAS NO TRABAJADAS (miles)	1992	6,7
Huelva	JORNADAS NO TRABAJADAS (miles)	1991	1,6
Jaén	HUELGAS DESARROLLADAS	2001	8,0
Jaén	HUELGAS DESARROLLADAS	2000	3,0
Jaén	HUELGAS DESARROLLADAS	1999	3,0
Jaén	HUELGAS DESARROLLADAS	1998	10,0
Jaén	HUELGAS DESARROLLADAS	1997	4,0
Jaén	HUELGAS DESARROLLADAS	1996	13,0
Jaén	HUELGAS DESARROLLADAS	1995	10,0
Jaén	HUELGAS DESARROLLADAS	1994	2,0
Jaén	HUELGAS DESARROLLADAS	1993	16,0
Jaén	HUELGAS DESARROLLADAS	1992	7,0
Jaén	HUELGAS DESARROLLADAS	1991	17,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	2001	1.640,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	2000	3,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1999	93,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1998	3.487,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1997	4,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1996	12,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1995	1.717,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1994	2,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1993	1.319,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1992	1.989,0
Jaén	CENTROS DE TRABAJO CONVOCADOS	1991	645,0
Jaén	TRABAJADORES PARTICIPANTES (miles)	2001	4,1
Jaén	TRABAJADORES PARTICIPANTES (miles)	2000	0,3
Jaén	TRABAJADORES PARTICIPANTES (miles)	1999	2,6
Jaén	TRABAJADORES PARTICIPANTES (miles)	1998	14,3
Jaén	TRABAJADORES PARTICIPANTES (miles)	1997	0,1
Jaén	TRABAJADORES PARTICIPANTES (miles)	1996	0,2
Jaén	TRABAJADORES PARTICIPANTES (miles)	1995	5,6
Jaén	TRABAJADORES PARTICIPANTES (miles)	1994	0,1
Jaén	TRABAJADORES PARTICIPANTES (miles)	1993	4,4
Jaén	TRABAJADORES PARTICIPANTES (miles)	1992	2,4
Jaén	TRABAJADORES PARTICIPANTES (miles)	1991	3,2
Jaén	JORNADAS NO TRABAJADAS (miles)	2001	15,8
Jaén	JORNADAS NO TRABAJADAS (miles)	2000	0,1
Jaén	JORNADAS NO TRABAJADAS (miles)	1999	3,7
Jaén	JORNADAS NO TRABAJADAS (miles)	1998	105,6
Jaén	JORNADAS NO TRABAJADAS (miles)	1997	0,4
Jaén	JORNADAS NO TRABAJADAS (miles)	1996	2,6
Jaén	JORNADAS NO TRABAJADAS (miles)	1995	40,6
Jaén	JORNADAS NO TRABAJADAS (miles)	1994	..
Jaén	JORNADAS NO TRABAJADAS (miles)	1993	18,5
Jaén	JORNADAS NO TRABAJADAS (miles)	1992	4,0
Jaén	JORNADAS NO TRABAJADAS (miles)	1991	10,0
Málaga	HUELGAS DESARROLLADAS	2001	5,0
Málaga	HUELGAS DESARROLLADAS	2000	3,0
Málaga	HUELGAS DESARROLLADAS	1999	21,0
Málaga	HUELGAS DESARROLLADAS	1998	22,0
Málaga	HUELGAS DESARROLLADAS	1997	13,0
Málaga	HUELGAS DESARROLLADAS	1996	10,0
Málaga	HUELGAS DESARROLLADAS	1995	12,0
Málaga	HUELGAS DESARROLLADAS	1994	28,0
Málaga	HUELGAS DESARROLLADAS	1993	31,0
Málaga	HUELGAS DESARROLLADAS	1992	35,0
Málaga	HUELGAS DESARROLLADAS	1991	45,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	2001	91,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	2000	3,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1999	22,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1998	124,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1997	1.344,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1996	415,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1995	19,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1994	41,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1993	21.584,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1992	196,0
Málaga	CENTROS DE TRABAJO CONVOCADOS	1991	363,0
Málaga	TRABAJADORES PARTICIPANTES (miles)	2001	1,2
Málaga	TRABAJADORES PARTICIPANTES (miles)	2000	0,1
Málaga	TRABAJADORES PARTICIPANTES (miles)	1999	1,4
Málaga	TRABAJADORES PARTICIPANTES (miles)	1998	2,0
Málaga	TRABAJADORES PARTICIPANTES (miles)	1997	1,2
Málaga	TRABAJADORES PARTICIPANTES (miles)	1996	21,7
Málaga	TRABAJADORES PARTICIPANTES (miles)	1995	1,1
Málaga	TRABAJADORES PARTICIPANTES (miles)	1994	2,3
Málaga	TRABAJADORES PARTICIPANTES (miles)	1993	60,9
Málaga	TRABAJADORES PARTICIPANTES (miles)	1992	7,4
Málaga	TRABAJADORES PARTICIPANTES (miles)	1991	10,7
Málaga	JORNADAS NO TRABAJADAS (miles)	2001	4,6
Málaga	JORNADAS NO TRABAJADAS (miles)	2000	0,2
Málaga	JORNADAS NO TRABAJADAS (miles)	1999	3,8
Málaga	JORNADAS NO TRABAJADAS (miles)	1998	2,6
Málaga	JORNADAS NO TRABAJADAS (miles)	1997	3,7
Málaga	JORNADAS NO TRABAJADAS (miles)	1996	43,4
Málaga	JORNADAS NO TRABAJADAS (miles)	1995	3,0
Málaga	JORNADAS NO TRABAJADAS (miles)	1994	11,1
Málaga	JORNADAS NO TRABAJADAS (miles)	1993	75,3
Málaga	JORNADAS NO TRABAJADAS (miles)	1992	21,9
Málaga	JORNADAS NO TRABAJADAS (miles)	1991	21,2
Sevilla	HUELGAS DESARROLLADAS	2001	4,0
Sevilla	HUELGAS DESARROLLADAS	2000	17,0
Sevilla	HUELGAS DESARROLLADAS	1999	27,0
Sevilla	HUELGAS DESARROLLADAS	1998	37,0
Sevilla	HUELGAS DESARROLLADAS	1997	60,0
Sevilla	HUELGAS DESARROLLADAS	1996	35,0
Sevilla	HUELGAS DESARROLLADAS	1995	26,0
Sevilla	HUELGAS DESARROLLADAS	1994	24,0
Sevilla	HUELGAS DESARROLLADAS	1993	47,0
Sevilla	HUELGAS DESARROLLADAS	1992	68,0
Sevilla	HUELGAS DESARROLLADAS	1991	84,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	2001	79,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	2000	392,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1999	1.064,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1998	821,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1997	1.039,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1996	631,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1995	1.597,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1994	1.101,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1993	27.217,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1992	522,0
Sevilla	CENTROS DE TRABAJO CONVOCADOS	1991	49.210,0
Sevilla	TRABAJADORES PARTICIPANTES (miles)	2001	1,2
Sevilla	TRABAJADORES PARTICIPANTES (miles)	2000	3,5
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1999	27,6
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1998	11,8
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1997	15,2
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1996	5,8
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1995	36,9
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1994	21,2
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1993	42,3
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1992	44,2
