Tipo de jornada	Comunidades y Ciudades Autonómas	Decil	Periodo	Total
Total	01 Andalucía	6	2022	1.917,12
Total	01 Andalucía	6	2021	1.867,39
Total	01 Andalucía	6	2020	1.809,86
Total	01 Andalucía	6	2019	1.794,96
Total	01 Andalucía	6	2018	1.748,9
Total	01 Andalucía	6	2017	1.692,59
Total	01 Andalucía	6	2016	1.704,17
Total	01 Andalucía	6	2015	1.697,21
Total	01 Andalucía	6	2014	1.708,18
Total	01 Andalucía	6	2013	1.702,09
Total	01 Andalucía	6	2012	1.679,15
Total	01 Andalucía	6	2011	1.674,78
Total	01 Andalucía	6	2010	1.663,9
Total	01 Andalucía	6	2009	1.619,79
Total	01 Andalucía	6	2008	1.573,12
Total	01 Andalucía	6	2007	1.487,2
Total	01 Andalucía	6	2006	1.415,69
Total	01 Andalucía	7	2022	2.190,43
Total	01 Andalucía	7	2021	2.162,07
Total	01 Andalucía	7	2020	2.103,78
Total	01 Andalucía	7	2019	2.064,47
Total	01 Andalucía	7	2018	2.016,21
Total	01 Andalucía	7	2017	1.980,99
Total	01 Andalucía	7	2016	1.971,9
Total	01 Andalucía	7	2015	1.961,44
Total	01 Andalucía	7	2014	1.993,43
Total	01 Andalucía	7	2013	1.986,18
Total	01 Andalucía	7	2012	1.935,24
Total	01 Andalucía	7	2011	1.926,51
Total	01 Andalucía	7	2010	1.918,82
Total	01 Andalucía	7	2009	1.860,32
Total	01 Andalucía	7	2008	1.793,82
Total	01 Andalucía	7	2007	1.707,47
Total	01 Andalucía	7	2006	1.628,45
Total	01 Andalucía	8	2022	2.610,28
Total	01 Andalucía	8	2021	2.583,86
Total	01 Andalucía	8	2020	2.546,27
Total	01 Andalucía	8	2019	2.443,69
Total	01 Andalucía	8	2018	2.429,26
Total	01 Andalucía	8	2017	2.361,45
Total	01 Andalucía	8	2016	2.347,81
Total	01 Andalucía	8	2015	2.367,67
Total	01 Andalucía	8	2014	2.377,97
Total	01 Andalucía	8	2013	2.347,66
Total	01 Andalucía	8	2012	2.295,96
Total	01 Andalucía	8	2011	2.285,48
Total	01 Andalucía	8	2010	2.288,07
Total	01 Andalucía	8	2009	2.243,15
Total	01 Andalucía	8	2008	2.153,44
Total	01 Andalucía	8	2007	2.047,07
Total	01 Andalucía	8	2006	1.964,41
Total	01 Andalucía	9	2022	3.166,05
Total	01 Andalucía	9	2021	3.129,52
Total	01 Andalucía	9	2020	3.157,22
Total	01 Andalucía	9	2019	3.019,5
Total	01 Andalucía	9	2018	2.988,49
Total	01 Andalucía	9	2017	2.967
Total	01 Andalucía	9	2016	2.908,1
Total	01 Andalucía	9	2015	2.956,42
Total	01 Andalucía	9	2014	2.937,85
Total	01 Andalucía	9	2013	2.908,01
Total	01 Andalucía	9	2012	2.860,77
Total	01 Andalucía	9	2011	2.856,77
Total	01 Andalucía	9	2010	2.849,52
Total	01 Andalucía	9	2009	2.837,1
Total	01 Andalucía	9	2008	2.699,37
Total	01 Andalucía	9	2007	2.561,08
Total	01 Andalucía	9	2006	2.450,99
Total	01 Andalucía	10	2022	4.834,91
Total	01 Andalucía	10	2021	4.924,7
Total	01 Andalucía	10	2020	4.833,28
Total	01 Andalucía	10	2019	4.479,56
Total	01 Andalucía	10	2018	4.567,14
Total	01 Andalucía	10	2017	4.467,06
Total	01 Andalucía	10	2016	4.381,21
Total	01 Andalucía	10	2015	4.448,36
Total	01 Andalucía	10	2014	4.506,45
Total	01 Andalucía	10	2013	4.460,35
Total	01 Andalucía	10	2012	4.345,4
Total	01 Andalucía	10	2011	4.279,44
Total	01 Andalucía	10	2010	4.235,27
Total	01 Andalucía	10	2009	4.213,04
Total	01 Andalucía	10	2008	4.096,56
Total	01 Andalucía	10	2007	3.580,99
Total	01 Andalucía	10	2006	3.423
Total	02 Aragón	Total decil	2022	2.029,96
Total	02 Aragón	Total decil	2021	1.994,02
Total	02 Aragón	Total decil	2020	1.972,37
Total	02 Aragón	Total decil	2019	1.958,4
Total	02 Aragón	Total decil	2018	1.951,39
Total	02 Aragón	Total decil	2017	1.906,44
Total	02 Aragón	Total decil	2016	1.824,57
Total	02 Aragón	Total decil	2015	1.938,59
Total	02 Aragón	Total decil	2014	1.875,24
Total	02 Aragón	Total decil	2013	1.842,71
Total	02 Aragón	Total decil	2012	1.887,41
Total	02 Aragón	Total decil	2011	1.870,55
Total	02 Aragón	Total decil	2010	1.894,43
Total	02 Aragón	Total decil	2009	1.904,8
Total	02 Aragón	Total decil	2008	1.819,98
Total	02 Aragón	Total decil	2007	1.716,72
Total	02 Aragón	Total decil	2006	1.631,7
Total	02 Aragón	1	2022	588,71
Total	02 Aragón	1	2021	577,06
Total	02 Aragón	1	2020	510,13
Total	02 Aragón	1	2019	507,39
Total	02 Aragón	1	2018	483,31
Total	02 Aragón	1	2017	456,2
Total	02 Aragón	1	2016	485,84
Total	02 Aragón	1	2015	460,13
Total	02 Aragón	1	2014	398,99
Total	02 Aragón	1	2013	435,8
Total	02 Aragón	1	2012	457,63
Total	02 Aragón	1	2011	494,07
Total	02 Aragón	1	2010	480,05
Total	02 Aragón	1	2009	502,55
Total	02 Aragón	1	2008	506,74
Total	02 Aragón	1	2007	492,01
Total	02 Aragón	1	2006	464,63
Total	02 Aragón	2	2022	1.137,16
Total	02 Aragón	2	2021	1.020,93
Total	02 Aragón	2	2020	998,99
Total	02 Aragón	2	2019	990,09
Total	02 Aragón	2	2018	886,49
Total	02 Aragón	2	2017	854,64
Total	02 Aragón	2	2016	852,97
Total	02 Aragón	2	2015	830,25
Total	02 Aragón	2	2014	836,02
Total	02 Aragón	2	2013	807,07
Total	02 Aragón	2	2012	830,88
Total	02 Aragón	2	2011	879,6
Total	02 Aragón	2	2010	886,11
Total	02 Aragón	2	2009	868,38
Total	02 Aragón	2	2008	888,34
Total	02 Aragón	2	2007	829,08
Total	02 Aragón	2	2006	806,95
Total	02 Aragón	3	2022	1.346,25
Total	02 Aragón	3	2021	1.263,55
Total	02 Aragón	3	2020	1.244,02
Total	02 Aragón	3	2019	1.215,93
Total	02 Aragón	3	2018	1.160,44
Total	02 Aragón	3	2017	1.129,41
Total	02 Aragón	3	2016	1.127,19
Total	02 Aragón	3	2015	1.102,26
Total	02 Aragón	3	2014	1.102,34
Total	02 Aragón	3	2013	1.105,95
Total	02 Aragón	3	2012	1.117,21
Total	02 Aragón	3	2011	1.129,94
Total	02 Aragón	3	2010	1.145,22
Total	02 Aragón	3	2009	1.118,7
Total	02 Aragón	3	2008	1.119,35
Total	02 Aragón	3	2007	1.059,85
Total	02 Aragón	3	2006	1.007,54
Total	02 Aragón	4	2022	1.527,91
Total	02 Aragón	4	2021	1.463,88
Total	02 Aragón	4	2020	1.422,84
Total	02 Aragón	4	2019	1.424,89
Total	02 Aragón	4	2018	1.364,85
Total	02 Aragón	4	2017	1.326,9
Total	02 Aragón	4	2016	1.325,06
Total	02 Aragón	4	2015	1.306,44
Total	02 Aragón	4	2014	1.326,34
Total	02 Aragón	4	2013	1.315,18
Total	02 Aragón	4	2012	1.320,74
Total	02 Aragón	4	2011	1.301,91
Total	02 Aragón	4	2010	1.309,88
Total	02 Aragón	4	2009	1.288,68
Total	02 Aragón	4	2008	1.266,29
Total	02 Aragón	4	2007	1.206,97
Total	02 Aragón	4	2006	1.147,04
Total	02 Aragón	5	2022	1.719,38
Total	02 Aragón	5	2021	1.648,53
Total	02 Aragón	5	2020	1.607,03
Total	02 Aragón	5	2019	1.594,67
Total	02 Aragón	5	2018	1.535,39
Total	02 Aragón	5	2017	1.497,07
Total	02 Aragón	5	2016	1.501,18
Total	02 Aragón	5	2015	1.494,84
Total	02 Aragón	5	2014	1.510,37
Total	02 Aragón	5	2013	1.500,04
Total	02 Aragón	5	2012	1.494,99
Total	02 Aragón	5	2011	1.475,39
Total	02 Aragón	5	2010	1.485,69
Total	02 Aragón	5	2009	1.444,1
Total	02 Aragón	5	2008	1.404,02
Total	02 Aragón	5	2007	1.341,53
Total	02 Aragón	5	2006	1.274,19
Total	02 Aragón	6	2022	1.919
Total	02 Aragón	6	2021	1.866,54
Total	02 Aragón	6	2020	1.824,17
Total	02 Aragón	6	2019	1.789,25
Total	02 Aragón	6	2018	1.757,2
Total	02 Aragón	6	2017	1.707,62
Total	02 Aragón	6	2016	1.700,15
Total	02 Aragón	6	2015	1.696,09
Total	02 Aragón	6	2014	1.724,77
Total	02 Aragón	6	2013	1.704,75
Total	02 Aragón	6	2012	1.693,53
Total	02 Aragón	6	2011	1.682,74
Total	02 Aragón	6	2010	1.671,56
Total	02 Aragón	6	2009	1.625,5
Total	02 Aragón	6	2008	1.580,96
Total	02 Aragón	6	2007	1.492,28
Total	02 Aragón	6	2006	1.419,03
Total	02 Aragón	7	2022	2.201,98
Total	02 Aragón	7	2021	2.159,04
Total	02 Aragón	7	2020	2.107,14
Total	02 Aragón	7	2019	2.049,77
Total	02 Aragón	7	2018	2.012,4
Total	02 Aragón	7	2017	1.955,28
Total	02 Aragón	7	2016	1.978,83
Total	02 Aragón	7	2015	1.974,81
Total	02 Aragón	7	2014	1.992,95
Total	02 Aragón	7	2013	1.979,3
Total	02 Aragón	7	2012	1.928,08
Total	02 Aragón	7	2011	1.921,06
Total	02 Aragón	7	2010	1.905,37
Total	02 Aragón	7	2009	1.859,63
Total	02 Aragón	7	2008	1.798,44
Total	02 Aragón	7	2007	1.701,68
Total	02 Aragón	7	2006	1.624,7
Total	02 Aragón	8	2022	2.604,3
Total	02 Aragón	8	2021	2.559,91
Total	02 Aragón	8	2020	2.528,33
Total	02 Aragón	8	2019	2.468,39
Total	02 Aragón	8	2018	2.412,44
Total	02 Aragón	8	2017	2.380,71
Total	02 Aragón	8	2016	2.354,21
Total	02 Aragón	8	2015	2.352,92
Total	02 Aragón	8	2014	2.396,24
Total	02 Aragón	8	2013	2.365,8
Total	02 Aragón	8	2012	2.300,99
Total	02 Aragón	8	2011	2.293,77
Total	02 Aragón	8	2010	2.283,85
Total	02 Aragón	8	2009	2.220,67
Total	02 Aragón	8	2008	2.127,07
Total	02 Aragón	8	2007	2.051,02
Total	02 Aragón	8	2006	1.968,55
Total	02 Aragón	9	2022	3.169,12
Total	02 Aragón	9	2021	3.167,14
Total	02 Aragón	9	2020	3.138,61
Total	02 Aragón	9	2019	2.997,01
Total	02 Aragón	9	2018	2.981,99
Total	02 Aragón	9	2017	2.952,25
Total	02 Aragón	9	2016	2.896,88
Total	02 Aragón	9	2015	2.964,46
Total	02 Aragón	9	2014	2.931,32
Total	02 Aragón	9	2013	2.910,23
Total	02 Aragón	9	2012	2.861,49
Total	02 Aragón	9	2011	2.853,83
Total	02 Aragón	9	2010	2.843,01
Total	02 Aragón	9	2009	2.810,36
Total	02 Aragón	9	2008	2.648
Total	02 Aragón	9	2007	2.565,95
Total	02 Aragón	9	2006	2.432,48
Total	02 Aragón	10	2022	4.933,23
Total	02 Aragón	10	2021	5.139,82
Total	02 Aragón	10	2020	5.054,77
Total	02 Aragón	10	2019	4.483,23
Total	02 Aragón	10	2018	4.736,25
Total	02 Aragón	10	2017	4.640,09
Total	02 Aragón	10	2016	4.480,04
Total	02 Aragón	10	2015	4.613,84
Total	02 Aragón	10	2014	4.579,36
Total	02 Aragón	10	2013	4.492,6
Total	02 Aragón	10	2012	4.415,53
Total	02 Aragón	10	2011	4.512,25
Total	02 Aragón	10	2010	4.466,43
Total	02 Aragón	10	2009	4.359,95
Total	02 Aragón	10	2008	4.355,36
Total	02 Aragón	10	2007	3.667,06
Total	02 Aragón	10	2006	3.545,07
Total	03 Asturias, Principado de	Total decil	2022	2.115,3
Total	03 Asturias, Principado de	Total decil	2021	2.079,31
Total	03 Asturias, Principado de	Total decil	2020	2.161,47
Total	03 Asturias, Principado de	Total decil	2019	2.078,32
Total	03 Asturias, Principado de	Total decil	2018	1.977,08
Total	03 Asturias, Principado de	Total decil	2017	1.958,28
Total	03 Asturias, Principado de	Total decil	2016	1.957,31
Total	03 Asturias, Principado de	Total decil	2015	1.957,25
Total	03 Asturias, Principado de	Total decil	2014	1.907,82
Total	03 Asturias, Principado de	Total decil	2013	1.956,6
Total	03 Asturias, Principado de	Total decil	2012	1.908,29
Total	03 Asturias, Principado de	Total decil	2011	1.914,63
Total	03 Asturias, Principado de	Total decil	2010	1.897,29
Total	03 Asturias, Principado de	Total decil	2009	1.842,01
Total	03 Asturias, Principado de	Total decil	2008	1.747,84
Total	03 Asturias, Principado de	Total decil	2007	1.715,22
Total	03 Asturias, Principado de	Total decil	2006	1.578,34
Total	03 Asturias, Principado de	1	2022	664,79
Total	03 Asturias, Principado de	1	2021	540,25
Total	03 Asturias, Principado de	1	2020	494,06
Total	03 Asturias, Principado de	1	2019	559,49
Total	03 Asturias, Principado de	1	2018	492,57
Total	03 Asturias, Principado de	1	2017	483,11
Total	03 Asturias, Principado de	1	2016	472,12
Total	03 Asturias, Principado de	1	2015	426,84
Total	03 Asturias, Principado de	1	2014	370,3
Total	03 Asturias, Principado de	1	2013	390,06
Total	03 Asturias, Principado de	1	2012	403,72
Total	03 Asturias, Principado de	1	2011	450,43
Total	03 Asturias, Principado de	1	2010	514,57
Total	03 Asturias, Principado de	1	2009	491,1
Total	03 Asturias, Principado de	1	2008	504,35
Total	03 Asturias, Principado de	1	2007	483,79
Total	03 Asturias, Principado de	1	2006	445,99
Total	03 Asturias, Principado de	2	2022	1.136,19
Total	03 Asturias, Principado de	2	2021	1.042,38
Total	03 Asturias, Principado de	2	2020	1.022,1
Total	03 Asturias, Principado de	2	2019	980,27
Total	03 Asturias, Principado de	2	2018	912,05
Total	03 Asturias, Principado de	2	2017	841,86
Total	03 Asturias, Principado de	2	2016	851,52
Total	03 Asturias, Principado de	2	2015	837,29
Total	03 Asturias, Principado de	2	2014	797,34
Total	03 Asturias, Principado de	2	2013	794,71
Total	03 Asturias, Principado de	2	2012	841,24
Total	03 Asturias, Principado de	2	2011	859,72
Total	03 Asturias, Principado de	2	2010	903,47
Total	03 Asturias, Principado de	2	2009	889,2
Total	03 Asturias, Principado de	2	2008	899,18
Total	03 Asturias, Principado de	2	2007	858,12
Total	03 Asturias, Principado de	2	2006	796,1
Total	03 Asturias, Principado de	3	2022	1.348,25
Total	03 Asturias, Principado de	3	2021	1.254,56
Total	03 Asturias, Principado de	3	2020	1.242,68
Total	03 Asturias, Principado de	3	2019	1.225,37
Total	03 Asturias, Principado de	3	2018	1.151,35
Total	03 Asturias, Principado de	3	2017	1.119,27
Total	03 Asturias, Principado de	3	2016	1.126,75
Total	03 Asturias, Principado de	3	2015	1.088,78
Total	03 Asturias, Principado de	3	2014	1.088,06
Total	03 Asturias, Principado de	3	2013	1.099
Total	03 Asturias, Principado de	3	2012	1.129,12
Total	03 Asturias, Principado de	3	2011	1.123,84
Total	03 Asturias, Principado de	3	2010	1.147,42
Total	03 Asturias, Principado de	3	2009	1.119,02
Total	03 Asturias, Principado de	3	2008	1.116,35
Total	03 Asturias, Principado de	3	2007	1.059,34
Total	03 Asturias, Principado de	3	2006	1.013,78
Total	03 Asturias, Principado de	4	2022	1.527,52
Total	03 Asturias, Principado de	4	2021	1.459,16
Total	03 Asturias, Principado de	4	2020	1.430,43
Total	03 Asturias, Principado de	4	2019	1.412,78
Total	03 Asturias, Principado de	4	2018	1.349,59
Total	03 Asturias, Principado de	4	2017	1.315,18
Total	03 Asturias, Principado de	4	2016	1.320,21
Total	03 Asturias, Principado de	4	2015	1.301,91
Total	03 Asturias, Principado de	4	2014	1.312,8
